sector,region,size,multiestablishment_firm,legal_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,fte_started,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,percentage_sales_main_product,sales,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,kpis,production_targets,performance_bonus,main_market,competitors,foreign_technology,informal_competitors,product_innovation,product_inn_market,process_innovation,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,security,losses_fraudulent_transactions,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,manager_timespent_regulations,tax_inspection,online_tax_payment,government_contract,percentage_informal_payments,import_lic,operating_licence,public_support,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value,age,exp,innovation
Retail services,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,0,55,0,1,1,25,0,47,1,1,0,0,1,1,0,0,1,95,22300000.0,5,0,0,95,20,40,40,0,100,0,1,0,0,1,1,1,1,International,5.0,0,1,1,1,1,1,100000.0,0,100,100,1,1,0,100,0,0,0,0,1,1,0,1,0,0,1,5,0,1,0,0.0,0,0,1,2,7,4,8,6,1,9,3,5,38,30,2,7,4,3,6,1,5,0,1,1,2,7,4,3,6,1,5,12,7,4,11,6,14,9,3,5,13,8,2,10,15,1,3300000,18000,52.0,0.0,23.0,1,1
Other services,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,50,1,1,0,0,0,0,100,0,1,2,20,0,45,2,1,0,0,0,0,0,0,1,100,4500000.0,0,70,0,30,95,0,5,0,0,100,1,0,0,1,1,1,0,National,10.0,0,0,1,0,1,0,0.0,0,100,100,0,1,0,40,40,0,20,0,1,1,1,1,0,0,1,0,0,1,0,0.0,0,0,1,5,8,1,9,3,4,6,7,2,17,15,7,5,1,2,3,4,6,0,0,1,7,5,1,2,3,4,6,5,8,10,11,12,4,6,13,15,14,9,3,7,1,2,1250000,2500,8.0,0.0,20.0,1,1
Other services,West Netherlands,Large,1,Shareholding company with non-traded shares or shares traded privately,100,0,60,100,0,0,0,0,0,1,0,19,0,59,3,1,1,1,1,0,0,0,1,65,81100000.0,95,0,0,5,97,0,3,0,10,90,1,0,0,1,1,1,1,National,10.0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,100,0,1,1,0,0,0,0,1,5,0,1,1,0.0,0,0,1,4,3,5,2,1,9,6,7,8,395,377,4,3,6,2,1,5,7,0,1,1,4,3,6,2,1,5,7,14,3,10,2,1,13,6,12,11,5,8,7,9,15,4,28491000,200000,12.0,0.0,101.0,1,0
Other services,East Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,80,1,1,0,0,0,0,80,0,1,2,31,0,58,0,1,0,0,0,0,0,0,1,100,25000000.0,15,85,0,0,100,0,0,0,0,0,0,0,1,0,0,1,0,National,8.0,0,0,0,0,0,1,150000.0,0,100,100,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0,0.0,0,0,1,1,7,2,3,6,4,9,5,8,7,5,1,7,2,3,6,4,5,33,0,1,1,7,2,3,6,4,5,15,6,14,10,1,7,13,5,8,11,12,4,9,2,3,1300000,3000,25.0,0.0,22.0,0,0
Other services,East Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,38,1,1,0,0,0,0,0,0,1,2,2,0,29,2,1,0,0,0,0,0,0,1,95,840000.0,0,0,50,50,100,0,0,0,0,0,1,0,1,1,1,1,0,National,0.0,0,0,1,1,1,1,10000.0,0,0,0,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,10,0,1,0,0.0,0,0,0,2,3,9,1,7,8,4,6,5,14,7,2,3,4,5,7,6,1,40,1,1,2,3,4,5,7,6,1,2,3,9,11,7,13,4,6,14,12,1,8,15,5,10,350000,0,0.0,0.0,4.0,0,1
Manufacturing,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,50,1,1,0,0,50,0,0,0,1,6,25,0,42,0,1,0,0,0,0,0,0,1,100,400000.0,0,10,90,0,2,0,98,3,2,98,0,0,0,0,0,0,0,International,1.0,0,0,1,1,1,0,0.0,0,0,0,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0.0,0,0,0,4,1,6,2,7,8,9,5,3,6,10,4,1,6,2,7,5,3,0,0,0,4,1,6,2,7,5,3,4,11,6,15,2,7,13,12,3,14,1,5,9,8,10,250000,3900,0.0,100000.0,10.0,1,1
Manufacturing,West Netherlands,Large,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,0,0,0,1,0,20,0,63,3,1,1,1,1,0,0,1,1,75,740000000.0,5,15,0,80,20,0,80,0,50,50,1,0,0,1,1,1,0,International,7.0,0,0,1,1,1,1,10000000.0,0,80,90,0,1,0,0,30,0,70,0,0,1,1,1,0,1,1,10,1,0,1,0.0,0,0,1,5,9,6,7,8,3,4,2,1,2200,3000,5,1,6,7,2,3,4,0,1,1,5,1,6,7,2,3,4,5,1,12,7,8,10,4,2,11,9,14,13,6,15,3,100000000,4000000,20.0,0.0,,1,1
Other services,East Netherlands,Large,1,Shareholding company with non-traded shares or shares traded privately,100,0,2,100,0,0,0,100,0,1,3,2,0,58,2,1,0,1,0,1,0,0,1,100,28500000.0,0,50,0,50,80,0,20,0,40,60,1,0,0,1,1,1,1,National,5.0,0,0,1,1,1,0,0.0,0,0,0,0,1,0,50,0,0,50,0,1,1,0,0,0,0,1,5,1,1,1,0.0,0,0,0,2,9,5,1,4,7,6,8,3,110,107,2,5,6,3,4,7,1,5,1,1,2,5,6,3,4,7,1,13,9,5,10,4,14,6,8,11,1,12,3,2,15,7,7300000,16330,0.0,0.0,44.0,1,1
Other services,West Netherlands,Large,0,Shareholding company with non-traded shares or shares traded privately,100,0,1,100,0,0,0,0,0,1,0,3,0,52,3,1,1,1,0,0,0,0,1,100,1500000000.0,0,20,80,0,100,0,0,0,0,100,0,0,0,0,1,1,1,National,3.0,1,0,1,1,1,1,200000.0,0,0,0,0,1,1,50,0,0,50,0,0,1,0,0,0,0,1,2,0,0,0,0.0,0,0,0,2,5,3,7,9,8,4,6,1,300,360,2,5,3,7,1,6,4,10,1,1,2,5,3,7,1,6,4,15,5,11,7,9,13,4,14,1,10,12,3,8,6,2,21000000,119000,1.0,0.0,40.0,0,1
Other services,North Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,1,13,0,32,1,1,1,1,1,0,0,0,1,100,1400000.0,85,5,10,0,95,0,5,0,50,50,1,0,0,0,1,1,1,National,25.0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,100,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0.0,0,0,0,8,7,5,6,4,2,3,1,9,55,20,1,7,5,6,4,2,3,0,1,1,1,7,5,6,4,2,3,11,15,14,6,13,12,3,7,9,5,1,2,4,10,8,1050000,12000,26.0,0.0,11.0,1,0
Other services,North Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,45,1,1,0,0,0,0,100,0,1,2,13,0,52,1,0,0,1,0,0,0,0,1,100,10000000.0,0,0,0,100,100,0,0,0,75,25,1,0,0,0,1,1,0,National,100.0,1,0,1,0,1,1,500000.0,0,100,10,0,1,0,100,0,0,0,0,0,1,1,0,0,0,1,5,0,1,0,0.0,0,0,0,4,9,6,5,3,8,2,1,7,40,35,4,5,7,6,3,1,2,5,1,1,4,5,7,6,3,1,2,12,11,6,14,3,1,2,10,7,9,15,13,4,5,8,2000000,200000,12.0,0.0,25.0,0,1
Other services,East Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,0,0,0,1,4,4,0,37,2,1,0,1,0,0,0,0,1,100,7800000.0,2,3,5,90,85,2,13,0,5,95,1,0,0,1,1,1,1,National,5.0,1,0,0,0,0,1,10000.0,0,100,100,0,1,0,90,0,0,10,0,1,1,0,0,0,0,0,2,0,1,1,0.0,0,0,1,3,6,2,5,7,4,8,9,1,18,18,3,6,2,5,7,4,1,2,0,1,3,6,2,5,7,4,1,3,12,15,11,8,4,10,1,14,13,5,6,7,9,2,1800000,4500,52.0,0.0,26.0,1,0
Manufacturing,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,100,0,0,0,100,0,0,0,1,0,41,1,1,0,1,1,0,1,1,1,90,16000000.0,70,30,0,0,100,0,0,0,0,100,1,0,0,0,1,1,1,National,1.0,0,0,1,1,1,0,0.0,0,0,0,0,1,1,100,0,0,0,0,1,1,1,0,0,0,1,10,0,1,0,0.0,0,0,1,6,5,8,2,3,1,4,9,7,41,37,6,5,7,2,3,1,4,0,1,1,6,5,7,2,3,1,4,6,12,8,13,10,3,4,9,14,11,2,15,1,7,5,3200000,300000,52.0,400000.0,36.0,0,1
Other services,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,50,1,1,0,0,0,0,50,0,1,2,19,0,59,1,1,0,0,0,0,0,0,1,95,12000000.0,10,90,0,0,85,0,15,0,30,70,0,0,0,0,1,1,1,National,3.0,1,0,1,1,1,1,100000.0,0,0,0,0,1,0,33,33,0,34,0,0,1,0,1,0,0,1,3,0,1,0,0.0,0,0,1,1,8,4,2,3,5,9,7,6,26,26,7,6,4,2,3,5,1,0,1,1,7,6,4,2,3,5,1,12,1,4,14,11,13,10,7,6,8,3,9,5,15,2,1000000,2000,18.0,0.0,38.0,1,1
Other services,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,1,1,1,39,0,60,2,1,1,0,1,0,0,1,1,100,3100000.0,0,100,0,0,100,0,0,0,95,5,1,0,0,0,1,1,0,National,5500.0,0,1,0,0,0,1,25000.0,0,100,100,1,1,0,70,0,0,30,0,1,1,1,0,0,1,1,5,1,1,0,0.0,0,0,1,3,9,7,5,4,2,1,8,6,70,60,3,5,6,2,4,7,1,10,0,1,3,5,6,2,4,7,1,3,9,12,13,4,11,1,8,6,14,2,7,15,5,10,1400000,18000,4.0,0.0,20.0,0,0
Other services,South Netherlands,Large,1,Shareholding company with non-traded shares or shares traded privately,53,1,1,100,0,0,1,53,0,1,80,20,0,48,2,1,1,0,0,0,0,0,1,100,32000000.0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,1,1,1,National,10.0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,100,0,0,0,0,1,1,1,0,0,1,10,0,1,0,0.0,0,0,0,8,1,7,6,3,2,5,4,9,114,77,1,3,7,6,4,2,5,80,1,1,1,3,7,6,4,2,5,1,12,8,6,11,13,15,14,9,7,3,10,2,4,5,5200000,480000,0.0,0.0,5.0,0,0
Other services,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,100,0,0,1,100,0,1,20,30,0,57,0,0,1,1,0,0,0,0,0,100,450000000.0,0,50,0,50,5,0,95,0,0,100,0,0,0,0,1,1,1,International,2.0,1,0,0,0,0,0,0.0,0,100,0,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,5,1,1,0,0.0,0,0,0,4,8,2,5,1,6,9,3,7,50,50,4,3,2,5,1,6,7,0,1,1,4,3,2,5,1,6,7,11,8,2,5,14,12,9,3,13,7,15,6,10,1,4,2000000,300000,0.0,0.0,35.0,1,0
Other services,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,67,0,1,0,0,0,1,0,0,1,10,2,0,57,3,1,1,1,0,0,1,0,1,100,91970000.0,0,100,0,0,75,0,25,0,90,10,0,0,0,1,1,1,1,National,8.0,0,0,1,1,1,1,50000.0,0,100,100,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,5,0,1,0,0.0,0,0,1,3,5,1,7,9,4,2,6,8,70,80,3,5,1,7,6,4,2,8,1,1,3,5,1,7,6,4,2,3,5,12,13,9,11,2,6,15,1,4,10,14,7,8,5900000,56000,52.0,0.0,57.0,1,1
Other services,West Netherlands,Large,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,3,40,0,74,1,1,0,0,0,1,1,0,1,60,75000000.0,0,50,50,0,70,30,0,1,30,70,1,0,0,0,1,1,0,National,50.0,0,0,1,1,1,0,0.0,0,100,100,0,1,1,100,0,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0.0,1,0,0,9,4,2,6,8,7,5,1,3,165,160,3,4,2,6,1,7,5,0,0,1,3,4,2,6,1,7,5,9,13,2,12,11,10,5,1,14,7,8,6,15,3,4,11000000,1300000,12.0,0.0,35.0,1,1
Manufacturing,West Netherlands,Medium,0,Other,0,0,1,0,0,0,0,0,0,0,0,0,0,57,2,1,0,1,0,0,0,0,1,60,130000000.0,50,25,25,0,75,0,25,0,50,50,0,0,0,1,1,1,0,Local,10.0,0,0,1,1,1,1,200000.0,0,100,100,0,1,0,100,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0.0,0,0,0,7,2,1,3,5,4,8,9,6,360,420,6,2,7,3,5,4,1,0,0,1,6,2,7,3,5,4,1,12,14,6,3,11,13,9,1,10,7,5,8,4,15,2,20000000,300000,6.0,8000000.0,115.0,1,1
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,3,35,0,54,1,1,0,1,0,0,1,0,1,95,4100000.0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,1,1,1,National,10.0,0,0,1,0,1,0,0.0,0,100,100,1,1,0,100,0,0,0,0,1,1,0,0,0,0,0,5,0,1,0,0.0,0,0,0,2,4,5,9,3,6,8,1,7,10,9,2,4,5,7,3,6,1,0,1,0,2,4,5,7,3,6,1,11,15,5,12,14,1,8,3,7,13,2,9,6,10,4,500000,200000,52.0,0.0,48.0,0,1
Other services,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,100,0,0,1,45,0,1,3,10,0,47,3,1,1,1,0,0,0,0,0,99,16900000.0,85,0,0,15,1,3,96,0,1,99,0,0,0,0,1,1,1,International,8.0,1,0,1,0,1,0,0.0,0,85,90,1,1,1,9,0,0,30,61,1,1,0,0,0,0,0,10,0,0,0,0.0,0,0,0,4,7,8,9,2,5,3,6,1,46,25,4,3,7,1,2,5,6,10,1,1,4,3,7,1,2,5,6,4,15,8,14,2,10,3,6,11,13,12,5,9,1,7,2700000,490000,1.0,0.0,7.0,1,1
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,45,0,1,0,45,0,0,0,0,1,1,30,0,60,2,1,1,1,1,0,0,0,1,90,450000.0,1,5,0,94,50,0,50,0,40,60,0,0,1,1,1,1,0,International,20.0,0,1,1,1,1,1,300000.0,0,0,0,0,0,0,0,0,0,0,100,1,1,0,0,0,0,0,20,0,1,1,0.0,0,0,1,4,9,6,2,3,7,8,5,1,2,2,4,1,6,2,3,7,5,4,1,1,4,1,6,2,3,7,5,4,13,12,2,10,7,11,5,15,9,14,6,1,8,3,0,2000,0.0,0.0,6.0,1,1
Manufacturing,West Netherlands,Small,0,Partnership,100,1,1,0,0,0,1,100,0,1,3,33,0,48,1,1,0,0,0,1,0,0,1,100,480000.0,40,0,0,60,100,0,0,0,60,40,1,0,0,0,0,1,0,Local,6.0,0,0,0,0,0,0,0.0,0,100,100,0,1,0,10,90,0,0,0,1,1,1,1,0,1,1,5,0,1,0,0.0,0,0,0,1,9,2,8,3,6,7,4,5,8,7,1,2,7,4,3,6,5,1,0,1,1,2,7,4,3,6,5,9,10,2,11,3,6,1,4,13,12,14,15,5,8,7,120000,16000,4.0,250000.0,14.0,0,0
Manufacturing,South Netherlands,Small,1,Partnership,100,1,1,0,0,0,1,100,0,1,2,44,1,66,1,1,0,0,0,0,0,0,1,100,600000.0,100,0,0,0,100,0,0,0,100,0,0,0,1,0,0,0,0,Local,3.0,0,0,1,0,1,0,0.0,0,100,100,0,0,0,0,100,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0.0,0,0,0,6,8,4,2,7,1,3,5,9,3,3,6,5,4,2,7,1,3,3,0,0,6,5,4,2,7,1,3,6,13,11,2,7,15,3,5,12,14,4,9,10,8,1,210000,32000,4.0,400000.0,108.0,0,1
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,49,0,1,0,0,0,1,49,0,1,2,25,1,47,1,1,1,1,0,0,0,0,1,70,1425000.0,10,0,0,90,95,5,0,0,90,10,1,0,0,1,1,1,0,National,10.0,0,0,1,1,1,1,75000.0,0,100,100,0,0,0,0,50,50,0,0,1,1,1,0,1,1,0,15,0,1,0,0.0,0,0,1,8,4,9,1,6,2,5,3,7,14,10,1,4,7,3,6,2,5,4,1,1,1,4,7,3,6,2,5,14,4,9,15,11,2,12,3,7,13,6,5,8,10,1,580000,12000,12.0,300000.0,15.0,1,1
Manufacturing,West Netherlands,Medium,1,Sole proprietorship,100,1,1,0,0,0,0,100,0,1,7,42,0,59,1,1,1,0,1,0,0,0,1,75,1300000.0,80,2,2,16,100,0,0,0,50,50,1,0,0,0,0,1,0,Local,5500.0,0,0,0,0,0,0,0.0,0,60,50,0,1,0,40,50,0,10,0,1,1,1,1,0,0,1,5,0,1,0,0.0,0,0,0,9,8,1,5,3,6,2,4,7,16,15,7,1,6,5,3,4,2,2,1,0,7,1,6,5,3,4,2,9,8,4,5,15,1,13,11,7,14,12,10,2,6,3,525822,18000,8.0,450000.0,24.0,0,0
Manufacturing,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,0,0,1,2,5,0,53,1,1,0,1,0,0,0,0,1,100,1000000.0,0,100,0,0,50,0,50,0,20,80,1,0,0,0,0,1,0,International,6.0,0,0,1,1,1,0,0.0,0,100,100,0,1,0,100,0,0,0,0,0,1,1,1,0,0,1,5,0,1,0,0.0,0,0,1,7,9,1,8,3,6,5,2,4,5,4,7,4,1,2,3,6,5,5,0,0,7,4,1,2,3,6,5,15,11,1,8,3,6,14,13,4,9,12,10,2,5,7,200000,8500,16.0,2000000.0,11.0,1,1
Other services,West Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,100,1,3,0,0,0,0,100,0,1,3,5,0,72,0,1,1,0,0,0,0,0,1,60,1200000.0,100,0,0,0,100,0,0,0,20,80,0,0,1,1,1,1,0,Local,4500.0,0,0,0,0,0,0,0.0,1,100,0,1,1,1,100,0,0,0,0,0,1,0,0,0,0,1,5,0,1,0,0.0,0,0,1,9,2,4,7,6,3,1,5,8,1,3,2,7,4,5,6,3,1,10,1,1,2,7,4,5,6,3,1,11,2,15,7,14,3,12,5,8,6,9,13,1,10,4,250000,20000,2.0,0.0,5.0,0,0
Manufacturing,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,1,12,25,1,46,1,1,0,1,0,0,0,0,1,100,2800000.0,75,5,5,15,100,0,0,0,25,75,1,0,1,1,0,1,0,Local,20.0,0,0,0,0,0,0,0.0,0,40,40,0,1,0,100,0,0,0,0,0,1,1,0,0,0,1,5,0,1,0,0.0,0,0,0,3,7,5,8,9,4,1,6,2,30,35,3,5,2,6,7,4,1,25,1,1,3,5,2,6,7,4,1,3,7,14,10,9,13,11,12,2,15,8,6,4,1,5,1300000,122000,8.0,2000000.0,60.0,0,0
Manufacturing,West Netherlands,Small,1,Shareholding company with shares traded on the stock market,100,1,1,0,0,0,0,100,0,1,1,15,0,48,3,1,1,1,0,1,0,0,1,65,500000.0,95,0,0,5,20,40,40,0,50,50,1,0,1,0,0,0,0,National,10.0,0,1,1,1,1,1,50000.0,0,0,0,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,10,0,1,0,0.0,0,0,0,7,6,9,8,3,5,1,2,4,9,13,7,6,4,2,3,5,1,10,1,1,7,6,4,2,3,5,1,15,6,14,11,3,5,4,2,12,7,13,10,8,9,1,139664,8000,26.0,2000000.0,8.0,1,1
Retail services,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,1,15,0,40,1,1,0,1,0,0,0,0,1,100,3500000.0,20,75,5,0,98,0,2,0,90,10,0,0,0,0,0,0,0,Local,5500.0,0,0,1,0,1,0,0.0,0,100,100,1,1,0,0,80,0,0,20,1,1,1,0,0,0,1,15,0,1,0,0.0,0,0,0,2,3,8,5,6,9,7,1,4,5,4,2,3,1,5,6,4,7,0,0,1,2,3,1,5,6,4,7,2,12,11,5,13,9,15,14,4,7,8,3,6,1,10,1500000,5500,0.0,0.0,106.0,1,1
Manufacturing,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,5,0,0,0,0,100,0,1,4,35,0,51,1,1,0,0,0,0,0,0,1,100,1000000.0,90,10,0,0,100,0,0,0,10,90,0,1,0,0,0,0,0,Local,5500.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0.0,0,0,0,5,7,2,8,4,3,1,6,9,8,4,5,7,2,3,6,1,4,20,0,0,5,7,2,3,6,1,4,15,11,2,14,4,3,12,13,9,8,7,1,6,10,5,345000,8000,5.0,500000.0,4.0,0,0
Manufacturing,North Netherlands,Small,0,Partnership,100,1,1,0,0,0,1,100,0,1,2,45,0,53,1,1,0,0,0,0,1,0,0,99,450000.0,0,0,0,100,20,80,0,0,90,10,1,1,0,0,0,0,0,International,3.0,0,0,0,0,0,0,0.0,0,100,100,0,0,0,100,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.0,0,0,0,2,3,9,6,1,4,5,7,8,2,2,2,3,7,6,1,4,5,0,0,0,2,3,7,6,1,4,5,10,12,11,6,2,4,5,13,8,3,9,14,7,15,1,60000,7500,52.0,200000.0,62.0,1,0
Manufacturing,North Netherlands,Small,0,Partnership,100,1,1,0,0,0,1,100,0,1,3,45,1,65,1,1,0,0,0,0,1,0,0,92,1200000.0,100,0,0,0,100,0,0,0,100,0,1,0,1,1,0,1,0,National,0.0,0,0,0,0,0,0,0.0,0,100,82,1,1,0,20,80,0,0,0,1,1,1,1,0,0,1,50,0,1,0,0.0,0,0,0,4,8,1,9,5,3,7,6,2,5,6,4,3,1,6,5,2,7,0,0,1,4,3,1,6,5,2,7,11,8,13,14,12,1,7,6,2,10,4,5,15,9,3,51000,25000,24.0,1710000.0,22.0,0,0
Manufacturing,East Netherlands,Small,0,Partnership,100,0,1,0,0,0,1,100,0,1,2,25,0,41,1,1,0,0,0,0,1,0,1,90,500000.0,0,0,0,100,100,0,0,0,80,20,1,0,0,1,1,1,0,National,0.0,0,0,0,0,0,0,0.0,0,100,38,1,0,0,100,0,0,0,0,1,1,1,1,0,0,1,10,0,0,0,0.0,0,0,0,7,1,3,8,5,9,2,4,6,5,4,6,1,3,7,5,4,2,2,1,0,6,1,3,7,5,4,2,1,12,3,8,11,15,2,4,6,14,13,7,5,10,9,0,10000,8.0,75000.0,47.0,0,0
Manufacturing,South Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,10,0,1,4,50,0,66,1,1,0,0,1,0,0,0,1,80,850000.0,10,90,0,0,100,0,0,0,20,80,0,0,1,0,0,1,0,National,5500.0,1,1,0,0,0,0,0.0,0,100,100,0,1,0,100,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.0,1,0,1,6,9,5,7,4,1,2,3,8,8,7,2,3,5,6,4,7,1,0,0,1,2,3,5,6,4,7,1,1,10,5,11,13,9,2,12,8,14,7,3,4,15,6,240990,5600,4.0,200000.0,110.0,0,0
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,1,3,27,0,52,1,1,0,0,0,1,0,0,1,100,1010000.0,0,100,0,0,100,0,0,0,2,98,0,1,0,0,0,1,0,National,5500.0,0,1,0,0,0,1,5000.0,0,0,0,0,1,0,70,0,0,30,0,1,1,1,1,0,1,1,1,0,1,0,0.0,0,0,0,4,3,8,6,5,2,7,9,1,8,8,4,3,1,6,5,2,7,0,1,0,4,3,1,6,5,2,7,4,15,12,6,5,2,7,13,9,11,3,10,14,1,8,500000,20000,4.0,200000.0,44.0,0,0
Manufacturing,North Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,1,30,0,46,1,1,0,0,0,0,0,0,1,70,865000.0,10,0,90,0,100,0,0,0,30,70,0,0,0,0,0,0,0,National,0.0,0,0,1,1,1,0,0.0,0,65,65,1,1,0,100,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0.0,0,0,0,9,4,3,8,6,2,5,1,7,5,4,5,4,3,7,6,2,1,0,0,0,5,4,3,7,6,2,1,15,4,12,13,6,2,11,14,7,9,5,3,8,1,10,148000,7340,104.0,300000.0,13.0,0,1
Manufacturing,East Netherlands,Small,0,Partnership,100,1,1,0,0,0,0,100,0,1,2,16,0,38,1,1,0,0,0,0,0,0,1,100,430000.0,0,30,50,20,100,0,0,0,20,80,1,0,1,0,0,1,0,National,3.0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,50,0,50,0,1,1,1,1,0,0,1,1,0,1,0,0.0,0,0,0,3,8,4,9,5,2,1,6,7,3,3,3,6,4,7,5,2,1,6,0,1,3,6,4,7,5,2,1,3,14,4,9,12,8,1,13,7,11,2,15,6,5,10,85000,8500,1.0,100000.0,16.0,0,0
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,2,20,0,46,2,0,0,0,0,0,0,0,1,100,700000.0,5,10,10,75,40,0,60,0,100,0,1,1,1,1,0,0,0,International,5500.0,0,0,1,1,1,0,0.0,1,100,100,0,1,0,100,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0.0,0,0,1,4,6,8,5,1,7,9,3,2,7,7,4,3,6,5,1,7,2,0,0,1,4,3,6,5,1,7,2,4,6,11,5,12,7,15,3,13,9,8,14,10,2,1,250000,15000,1.0,1000000.0,48.0,1,1
